,顧客ID,商品コード,売上単価,数量,売上,明細ID,スコア
0,112093,200006,8640,1,8640,1430000220901,1
1,112093,300004,540,1,540,1430000220902,0
2,112093,600019,1944,1,1944,1430000220903,0
3,121059,200006,8640,1,8640,380000323621,1
4,121059,300007,3240,1,3240,380000323622,0
5,121059,300017,3240,1,3240,380000323623,0
6,321123,1B1402,0,1,0,700000340381,0
7,321123,1B1403,0,1,0,700000340382,0
8,321123,300004,540,1,540,700000340383,0
9,321123,600006,329,1,329,700000340384,0
10,331001,200073,8640,1,8640,20001632121,0
11,331001,400021,-864,1,-864,20001632122,0
12,331001,300011,2160,1,2160,20001632123,0
13,331001,300003,1080,1,1080,20001632124,0
14,431039,200006,8640,1,8640,1130000059161,1
15,431039,200073,8640,1,8640,1130000059162,0
16,431039,200005,0,1,0,1130000059163,0
17,431039,300004,540,1,540,1130000059164,0
18,431039,300005,0,1,0,1130000059165,0
19,431039,400021,-3456,1,-3456,1130000059166,0
20,512107,1B2103,0,1,0,1620000245661,0
21,612072,1B2102,0,1,0,250000597121,0
22,612072,200081,2052,4,8208,250000597122,0
23,612072,600027,1700,1,1700,250000597123,0
24,612072,025600041,486,2,972,250000597124,0
25,651028,200006,8640,1,8640,110000408341,1
26,651028,300008,3240,1,3240,110000408342,0
27,651042,1B2202,0,1,0,610000064571,0
28,711087,200006,8640,1,8640,60000739291,1
29,711087,200073,8640,1,8640,60000739292,0
30,711087,300011,2160,1,2160,60000739293,0
31,711087,400021,-1728,1,-1728,60000739294,0
32,721111,200006,8640,1,8640,160000639261,1
33,721111,300004,540,1,540,160000639262,0
34,741001,1B2202,0,1,0,2090000013381,0
35,741001,300012,2160,1,2160,2090000013382,0
36,741001,1A1507,0,3,0,2090000013383,0
37,741001,1B2202,0,1,0,2090000015591,0
38,751046,200071,16200,1,16200,390000123721,2
39,751046,300014,5400,1,5400,390000123722,0
40,751046,600031,1700,1,1700,390000123723,0
41,751046,600058,810,1,810,390000123724,0
42,812016,0705A0097,540,1,540,700000339471,0
43,812016,0705A0065,43200,1,43200,700000339472,0
44,812016,070000037,0,1,0,700000339473,0
